feature,importance
instagram,0.23256539108643243
campaign_flyer_x_instagram,0.1703270894205507
youtube,0.14026811383365195
facebook_x_instagram,0.10995035633239507
campaign_flyer_x_facebook,0.09195902520154851
instagram_x_youtube,0.07340091775438988
campaign_flyer_x_youtube,0.04284889048163329
campaign_flyer,0.03633147480233163
campaign_email_x_instagram,0.033128664585059635
facebook,0.01684447388733788
campaign_email,0.010369805896751629
campaign_email_x_youtube,0.009561492551317215
campaign_email_x_campaign_flyer,0.008383937833013024
facebook_x_youtube,0.007702947112079775
instagram_x_tiktok,0.005360264696924994
tiktok,0.0032487761945843535
youtube_x_tiktok,0.0017545184807899235
campaign_email_x_linkedin,0.0015734690674287291
youtube_x_linkedin,0.001377353720297847
campaign_flyer_x_tiktok,0.0011402036474045501
instagram_x_linkedin,0.0005554083764724992
campaign_email_x_tiktok,0.0004103722686083099
campaign_flyer_x_linkedin,0.0003476152662210727
facebook_x_tiktok,0.00031253110758699764
linkedin,0.00027690639518817374
campaign_phone,0.0
facebook_x_linkedin,0.0
campaign_email_x_facebook,0.0
campaign_phone_x_youtube,0.0
campaign_phone_x_linkedin,0.0
campaign_phone_x_tiktok,0.0
campaign_phone_x_instagram,0.0
campaign_phone_x_facebook,0.0
campaign_email_x_campaign_phone,0.0
campaign_flyer_x_campaign_phone,0.0
tiktok_x_linkedin,0.0
