feature,importance
campaign_flyer_x_instagram,0.29634956437668264
instagram,0.15370515690079534
instagram_x_youtube,0.13304432308082262
youtube,0.08618280976094124
facebook_x_instagram,0.05737422064502179
facebook_x_tiktok,0.047665756019228164
campaign_flyer,0.0341675227397241
campaign_flyer_x_youtube,0.032787640795492755
campaign_flyer_x_facebook,0.028711260507427897
facebook,0.027942248625524264
facebook_x_youtube,0.026564417289119704
tiktok,0.01886012888070003
campaign_email_x_instagram,0.010392935099021092
instagram_x_tiktok,0.009889002392447107
campaign_email_x_tiktok,0.008096740490065087
campaign_email_x_youtube,0.007865178929727169
campaign_email_x_campaign_flyer,0.00596469110970128
campaign_email,0.00456708385890633
youtube_x_tiktok,0.0029253877746090277
campaign_email_x_facebook,0.0024963953099095457
campaign_flyer_x_tiktok,0.0016939964019667014
youtube_x_linkedin,0.0011986628470400972
instagram_x_linkedin,0.0007299965931585365
campaign_flyer_x_linkedin,0.0005855400737025889
linkedin,0.00018818269197311705
campaign_phone,5.115680629196622e-05
campaign_email_x_campaign_phone,0.0
facebook_x_linkedin,0.0
campaign_flyer_x_campaign_phone,0.0
campaign_email_x_linkedin,0.0
campaign_phone_x_linkedin,0.0
campaign_phone_x_tiktok,0.0
campaign_phone_x_youtube,0.0
campaign_phone_x_instagram,0.0
campaign_phone_x_facebook,0.0
tiktok_x_linkedin,0.0
